100 1
0 1 72
0 17 73
0 31 69
0 57 32
0 64 100
0 66 89
0 85 63
0 93 26
0 95 77
0 97 73
1 7 26
1 9 90
1 17 71
1 39 86
1 52 61
1 57 66
1 58 89
1 67 23
1 78 71
1 80 6
1 95 83
2 4 14
2 7 35
2 25 29
2 47 2
2 57 24
2 64 69
2 65 75
3 7 90
3 10 91
3 12 61
3 22 49
3 31 24
3 36 47
3 45 80
3 46 11
3 56 78
3 58 91
3 66 35
3 81 50
3 83 99
3 95 55
4 7 62
4 29 67
4 58 49
4 66 81
4 80 14
4 85 36
4 87 97
5 0 1
5 16 60
5 24 98
5 27 42
5 29 22
5 38 44
5 53 82
5 84 53
5 94 70
5 97 47
6 0 66
6 2 68
6 19 31
6 24 43
6 32 1
6 41 42
6 42 80
6 58 60
6 64 88
6 73 41
6 90 33
6 92 8
6 99 62
7 17 50
7 21 23
7 26 30
7 38 39
7 44 87
7 67 59
7 98 87
8 17 1
8 36 44
8 43 85
8 47 32
8 49 45
8 53 54
8 56 15
8 62 35
8 72 29
8 74 34
8 95 15
8 97 52
9 3 49
9 5 93
9 10 21
9 23 91
9 27 57
9 32 36
9 45 90
9 46 76
9 52 66
9 83 31
9 84 57
9 89 61
9 92 32
10 3 78
10 8 15
10 18 89
10 21 53
10 26 51
10 55 99
10 57 21
10 63 93
10 72 100
10 74 47
10 77 59
10 80 34
10 93 84
11 16 20
11 19 52
11 23 65
11 24 61
11 28 52
11 34 30
11 41 20
12 0 4
12 4 20
12 17 89
12 21 79
12 28 50
12 37 20
12 39 48
12 40 1
12 45 15
12 53 25
12 91 37
13 7 78
13 9 96
13 23 71
13 57 39
13 74 92
13 78 8
14 2 50
14 17 53
14 29 50
14 36 61
14 45 64
14 53 4
14 54 86
14 56 11
14 69 25
14 82 16
14 87 41
15 7 15
15 11 76
15 27 25
15 37 57
15 38 53
15 45 26
15 46 17
15 54 70
15 56 64
15 67 10
15 71 26
15 72 88
15 73 72
15 80 45
16 4 39
16 28 13
16 40 43
16 48 64
16 65 43
16 85 23
16 95 17
17 10 76
17 11 42
17 59 27
17 62 72
17 64 100
17 65 2
17 69 1
17 84 49
17 93 66
18 0 27
18 3 1
18 5 53
18 6 57
18 9 48
18 20 32
18 55 77
18 56 77
18 60 37
18 66 10
18 70 1
18 74 54
18 78 74
18 86 65
19 8 60
19 23 48
19 42 28
19 63 79
19 66 93
19 68 50
19 83 19
19 84 38
19 86 4
20 2 61
20 3 44
20 9 19
20 16 43
20 19 28
20 32 65
20 49 59
20 58 7
20 59 27
20 67 66
20 68 40
20 91 78
21 5 64
21 10 43
21 14 100
21 18 46
21 68 88
21 87 86
21 90 27
22 0 10
22 8 69
22 12 34
22 14 74
22 25 25
22 30 20
22 35 27
22 37 3
22 62 79
22 63 30
22 71 5
22 72 91
22 75 57
22 78 95
22 81 84
22 97 85
23 8 68
23 9 62
23 12 96
23 13 48
23 29 1
23 36 37
23 46 91
23 50 13
23 58 93
23 62 37
23 69 51
23 71 29
23 94 36
24 5 77
24 25 90
24 29 66
24 34 23
24 46 8
